canton,prefecture,region,nb_eau,nb_elevage,nb_pisciculture,nb_abattoir,IRAT,statut
Kpegnon (Haito),Haho,Plateaux,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Kpélé-Centre,Kpélé,Plateaux,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Kpélé-Dutoé,Kpélé,Plateaux,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Kpélé-Nord,Kpélé,Plateaux,0.0,18.0,2.0,0.0,57.28299449687203,Résilient
Kpélé-Novivé,Kpélé,Plateaux,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Kpéssi,Est-Mono,Plateaux,0.0,3.0,1.0,0.0,44.15280935507804,Intermédiaire
Kpétsou,Bas-Mono,Maritime,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Kpété-Béna,Wawa,Plateaux,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Kéméni,Tchaoudjo,Centrale,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Kémérida,Binah,Kara,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Kériadé,Sotouboua,Centrale,0.0,9.0,1.0,0.0,51.56674105334586,Résilient
Késsibo,Wawa,Plateaux,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Kétao,Binah,Kara,0.0,3.0,0.0,1.0,42.54812615948575,Intermédiaire
Landa,Kozah,Kara,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Larini,Tchamba,Centrale,0.0,5.0,0.0,1.0,45.52972643331064,Intermédiaire
Loko,Tandjoaré,Savanes,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Lokpano,Tandjoaré,Savanes,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
M'Poti,Blitta,Centrale,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Mamproug,Tandjoaré,Savanes,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Manga,Bassar,Kara,0.0,19.0,0.0,0.0,44.7038567493113,Intermédiaire
Mission-Tové,Zio,Maritime,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Nandoga,Tandjoaré,Savanes,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Nawaré,Dankpen,Kara,0.0,7.0,0.0,0.0,38.298898071625345,Intermédiaire
Ogaro,Kpendjal-Ouest,Savanes,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Okou,Wawa,Plateaux,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Ountivou,Ogou,Plateaux,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Pagala-Gare,Blitta,Centrale,0.0,10.0,0.0,1.0,50.60657584369848,Résilient
Pagala-Village,Blitta,Centrale,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Pallakoko,Anié,Plateaux,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Pessaré,Binah,Kara,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Pitikita,Binah,Kara,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Pogno,Kpendjal-Ouest,Savanes,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Sadori,Oti,Savanes,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Sagbiebou,Oti-Sud,Savanes,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Sanfatoute,Tône,Savanes,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Sangou,Tandjoaré,Savanes,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Saïboudè,Mô,Centrale,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Sirka,Binah,Kara,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Sodo,Amou,Plateaux,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Soumdina,Kozah,Kara,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Sérégbénè,Akébou,Plateaux,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Séssaro,Sotouboua,Centrale,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Tado,Moyen-Mono,Plateaux,0.0,7.0,0.0,0.0,38.298898071625345,Intermédiaire
Tambigou,Kpendjal,Savanes,0.0,7.0,0.0,0.0,38.298898071625345,Intermédiaire
Tambonga,Kpendjal-Ouest,Savanes,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Tchaloudè,Blitta,Centrale,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Tchamonga,Oti-Sud,Savanes,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Tchanaga,Oti,Savanes,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Tcharè,Kozah,Kara,0.0,15.0,0.0,0.0,43.464187327823694,Intermédiaire
Tcharè-Baou,Blitta,Centrale,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Tchifama,Blitta,Centrale,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Tindjasse,Mô,Centrale,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Tintchro,Blitta,Centrale,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Togblekope,Agoè-Nyivé,Maritime,0.0,3.0,0.0,1.0,42.54812615948575,Intermédiaire
Togoville,Vo,Maritime,0.0,9.0,3.0,0.0,55.48201045700642,Résilient
Tohoun,Moyen-Mono,Plateaux,0.0,7.0,4.0,0.0,54.65254394724563,Résilient
Tomégbé,Wawa,Plateaux,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Tométy-Kondji,Yoto,Maritime,0.0,8.0,1.0,0.0,50.91160847828595,Résilient
Témédja,Amou,Plateaux,0.0,11.0,0.0,0.0,41.60468319559229,Intermédiaire
Ténéga,Doufelgou,Kara,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Waragni,Blitta,Centrale,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Wassarabo,Tchaoudjo,Centrale,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Welly,Blitta,Centrale,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Wli,Zio,Maritime,0.0,1.0,3.0,0.0,40.36493056719925,Intermédiaire
Womé,Kloto,Plateaux,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Yadè,Kozah,Kara,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Yalla,Akébou,Plateaux,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Zafi,Yoto,Maritime,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Zogbégan,Wawa,Plateaux,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Agbétiko,Bas-Mono,Maritime,0.0,0.0,1.0,0.0,31.694214876033058,Intermédiaire
Ahlon,Danyi,Plateaux,0.0,0.0,2.0,0.0,33.209366391184574,Intermédiaire
Otadi,Amou,Plateaux,0.0,0.0,2.0,0.0,33.209366391184574,Intermédiaire
Djamdè,Kozah,Kara,0.0,0.0,0.0,1.0,30.08953168044077,Intermédiaire
